Dia,Evento A,Evento B
1 | Terça-feira,Pergaminho do Exorcismo,Feijão do Dragão Verde
2 | Quarta-feira,Reforço para Itens (A),Feitiço para Itens (A)
3 | Quinta-feira,Super Metins,Cor Draconis (Cru)
4 | Sexta-feira,Muffin (Azul),Orison Pequeno
5 | Sábado,Reforço para Itens (A),Feitiço para Itens (A)
6 | Domingo,Puzzle de Pesca,Caixa d'Ébano Púrpura
7 | Segunda-feira,Pergaminho do Exorcismo,Feijão do Dragão Verde
8 | Terça-feira,Reforço para Itens (A),Feitiço para Itens (A)
9 | Quarta-feira,Conselho de Eremita,Cor Draconis (Cru)
10 | Quinta-feira,Nugget (Verde),Super Metins
11 | Sexta-feira,Pergaminho da Bênção,Orison Pequeno
12 | Sábado,Expansão de Inventário,Puzzle de Pesca
13 | Domingo,Chama do Dragão (B),Cofre do Livro do Pet
14 | Segunda-feira,Passagem,Cor Draconis (Cru)
15 | Terça-feira,Tecido Fino,Pergaminho do Exorcismo
16 | Quarta-feira,Super Metins,Cor Draconis (Cru)
17 | Quinta-feira,Conselho de Eremita,Muffin (Azul)
18 | Sexta-feira,Mármore da Benção,Caixa d'Ébano Púrpura
19 | Sábado,Reforço para Itens (A),Feitiço para Itens (A)
20 | Domingo,Feitiço para Itens (A),Reforço para Itens (A)
21 | Segunda-feira,Expansão de Inventário,Anel do Transporte
22 | Terça-feira,Tecido Fino,Cor Draconis (Cru)
23 | Quarta-feira,Muffin (Azul),Super Metins
24 | Quinta-feira,Pergaminho do Exorcismo,Feijão do Dragão Verde
25 | Sexta-feira,Pergaminho da Bênção,Orison Pequeno
26 | Sábado,Feitiço para Itens (A),Evento de Luares (Normal)
27 | Domingo,Expansão de Inventário,Puzzle de Pesca
28 | Segunda-feira,Conselho de Eremita,Nugget (Verde)
29 | Terça-feira,Feijão do Dragão Verde,Cor Draconis (Cru)
30 | Quarta-feira,Super Metins,Muffin (Azul)
